"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - декабрь 2021 г.)"
"Воронежская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.111 УК РФ (Умышленное причинение тяжкого вреда здоровью)",190
"Воронежская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.131 УК РФ (Изнасилование)",33
"Воронежская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.158 УК РФ (Кража)",14067
"Воронежская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.161 УК РФ (Грабёж)",497
"Воронежская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.162 УК РФ (Разбой)",75
"Воронежская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.163 УК РФ (Вымогательство)",100
"Воронежская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.213 УК РФ (Хулиганство) ",8
"Воронежская область","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.105 УК РФ (Убийство)",72
"Воронежская область","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.111 УК РФ (Умышленное причинение тяжкого вреда здоровью)",173
"Воронежская область","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.131 УК РФ (Изнасилование)",44
"Воронежская область","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.158 УК РФ (Кража)",4604
"Воронежская область","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.161 УК РФ (Грабёж)",63
"Воронежская область","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.162 УК РФ (Разбой)",54
"Воронежская область","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.163 УК РФ (Вымогательство)",0
